,cities,aqi,latitude,longitude,pm25,pm10,o3,uvi,date
971,Nakhon Ratchasima,82,14.979537,102.098335,82.0,31.0,17.0,2.0,11-30-2021
972,N'Djamena,182,12.1348,15.0557,182.0,90.0,10.0,2.0,11-30-2021
975,Kerman,66,30.293697,57.08758,66.0,60.0,7.0,1.0,11-30-2021
977,Islamabad,180,33.7235,73.11822,180.0,54.0,5.0,1.0,11-30-2021
978,Sarajevo,155,43.848324,18.363396,155.0,15.0,20.0,0.0,11-30-2021
980,Dushanbe,42,38.55767,68.77592,42.0,34.0,11.0,0.0,11-30-2021
981,Vientiane,70,17.896122,102.64,70.0,28.0,14.0,2.0,11-30-2021
989,Yicheng,38,31.3542,119.8177,38.0,58.0,1.0,1.0,11-30-2021
990,Skoplje,55,41.99249998,21.42361109,55.0,18.0,18.0,0.0,11-30-2021
993,Dali,22,25.5811,100.2171,17.0,19.0,3.0,1.0,11-30-2021
995,Jinzhou ,78,41.09512,121.127004,78.0,17.0,9.0,0.0,11-30-2021
1000,Rasht,117,37.3165811,49.6065279,2.0,42.0,3.0,1.0,11-30-2021
